gene,logFC,logCPM,F,PValue,FDR
HRH1,2.40661684223856,2.2994434340237,25.9155375252008,1.15250957663443e-05,0.000755921315788018
TMEM140,0.80930626226309,4.50039899510085,25.8999248740097,1.15329782079399e-05,0.000755921315788018
PLXNA3,1.28543515856779,3.6530536877891,25.897009916339,1.15448567152988e-05,0.000755921315788018
PEA15,0.923259444002215,6.28622145606823,25.8750947002844,1.16190933210072e-05,0.000755921315788018
DSEL,1.33430302010944,1.94305545204718,25.8770348806119,1.16390989494716e-05,0.000755921315788018
CYP27B1,1.99057054759726,-2.22441237388771,24.693604782096,1.16870872085471e-05,0.000755939881607532
FAT1,1.79751578037237,4.29052704873737,25.8298053353435,1.17800929284607e-05,0.000758858262753321
GALNT10,1.14726687980383,4.07725596704684,25.8136757082784,1.18363168446111e-05,0.000759393170188468
PIEZO1,1.90601193240905,5.03538675108526,25.7740285824372,1.19782265280847e-05,0.000762514825816399
RAB20,1.71977028372235,1.05941560308204,25.7799796214866,1.20447150061088e-05,0.000762514825816399
PNMA1,1.32628410098482,3.97930575431779,25.7550502897045,1.20478217043403e-05,0.000762514825816399
ICAM1,1.40894011522311,3.18670874277542,25.7384898848356,1.21114896404195e-05,0.000762514825816399
KCTD10,0.881821666894564,4.86292167969126,25.7333492363048,1.21255591661345e-05,0.000762514825816399
C3,2.69886060743948,7.65428650915755,25.6744714218016,1.23424213140237e-05,0.000772082384118315
PPP1R3G,1.95561993406297,0.828369259708619,25.6662753834427,1.24788170554311e-05,0.000772082384118315
DAB2,1.5135560708535,5.45978699469936,25.6306741978908,1.25068014765169e-05,0.000772082384118315
PAPLN,2.0364605670462,2.98356136761512,25.6279724854037,1.25316880469842e-05,0.000772082384118315
CMTM3,2.61458628051825,4.08902770137121,25.6246161659698,1.25357348253613e-05,0.000772082384118315
AEBP1,3.57833889962117,6.70164491780594,25.6140116998434,1.2570029349563e-05,0.000772082384118315
SOCS3,2.77845888181943,2.79562908640683,25.5755075747924,1.27594917818011e-05,0.000775437345513009
P2RX7,2.18257468540634,1.30651138746694,25.5882032108425,1.27611859109105e-05,0.000775437345513009
SPON1,5.38672901435528,2.92557620183445,25.4983397056655,1.27714486766514e-05,0.000775437345513009
H6PD,-0.623678526524684,6.53758241450269,25.4818207057567,1.30056799112857e-05,0.000784664085683926
PCGF6,-0.674710048669605,2.90960360229032,25.4694364483879,1.30619737116578e-05,0.000784664085683926
ABI3BP,1.94036996469302,5.05023546084032,25.4610794436247,1.31649046699335e-05,0.000784664085683926
GXYLT2,2.91191228059687,1.28803508218058,25.4711480305979,1.31910233414552e-05,0.000784664085683926
AC110995.1,3.66677685952165,-1.79829806428361,23.9027714735877,1.32340202128655e-05,0.000784664085683926
TMEM176A,2.99988652762654,3.19708500801457,25.4513027364842,1.32379837546286e-05,0.000784664085683926
DPT,2.37776171377034,6.57461324716175,25.4276911199023,1.32982072687489e-05,0.000784664085683926
LIF,3.18193452027291,0.0356450542385714,25.1388308989934,1.33195329746309e-05,0.000784664085683926
LTBP2,1.17803539534303,5.83464357585779,25.3900777143904,1.34504972589152e-05,0.000786977549192619
MCUR1,-0.641128709565736,4.35586445566959,25.3796929262762,1.34581255651669e-05,0.000786977549192619
VCAN,2.50878105606426,5.17440423230861,25.3751453989699,1.35130884187635e-05,0.00078726474979312
KIFC1,2.43546355404865,-1.09244770091261,24.8646034439834,1.35818004036128e-05,0.00078726474979312
KCNK6,2.04008412848502,2.27371322710939,25.3601656043365,1.36120743007077e-05,0.00078726474979312
DNM1,3.17191792724602,4.19509463546093,25.3388131456962,1.36736900744905e-05,0.000787952605856187
MVP,1.74628696450755,5.89910698699497,25.3085071862775,1.37876225972874e-05,0.000791639330794251
NR3C2,-1.06860589679729,4.23019716857905,25.2941824588624,1.38475182242088e-05,0.000792208019130096
PLEKHA7,1.11929910987478,2.27956878812345,25.2839834758282,1.3906720269773e-05,0.000792733079550695
KIAA0556,0.949943687069439,2.73666572633408,25.2533125451577,1.40287137892809e-05,0.000793375255711027
PLAU,1.44224314140044,4.2092125355855,25.2354352529147,1.40984182291037e-05,0.000793375255711027
LAMA4,1.30845296583005,5.95615651737558,25.2245257544372,1.41435859068472e-05,0.000793375255711027
COL6A1,2.06086178923024,8.52700172868605,25.2105823349076,1.42036498614682e-05,0.000793375255711027
