"",all_results,benchmark
lu_adc_GSE123902_GSM3516668_156515966307061,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_156933471561443,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_156933499041524,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_156933499340643,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157004365519134,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_157004384844061,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157071998934324,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157072030390515,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157140435724508,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157140449639780,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157477617167205,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157537720252275,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157537734122420,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157537765576093,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_157562564688684,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157684151532772,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157684165634979,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157684179036590,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157684197186268,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157690339899830,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_157690340265245,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_160440043813804,TRUE,FALSE
