"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
185,ARFGAP1,1.77173549887444,7.42602357303306,9.78797915062251,4.92787057593079e-17,3.02970810435875e-15,28.1887793385739
186,G0S2,-5.46076379451697,7.33916498935537,-9.77644132533647,5.25241030118323e-17,3.21187713793861e-15,28.1258670055303
187,SAMD4A,-2.82475174695928,7.06061833484298,-9.77277772022281,5.35985865540046e-17,3.26005520569651e-15,28.1058921454181
188,JAZF1,-2.1735197219293,5.42096209933884,-9.77108521214259,5.41023572206923e-17,3.27319261185188e-15,28.0966644591951
189,BSPRY,3.30353754054412,7.46360858878512,9.7676800026515,5.51302736597572e-17,3.3177340349528e-15,28.0780995225692
190,AKR1C2,-5.94026407220815,7.14661699321488,-9.74680443933081,6.18719958743187e-17,3.70385305828685e-15,27.96430323549
191,SYNE4,3.53196959351075,6.29278397447934,9.73332591257804,6.66558763264902e-17,3.96933998606021e-15,27.8908439542237
192,QKI,-0.821680523127829,2.49832031464463,-9.72329383362131,7.04545950430392e-17,4.17370085426838e-15,27.8361756384677
193,COPZ2,-2.65423250615668,6.07711591070248,-9.71926681894242,7.20395470938101e-17,4.24548087380827e-15,27.8142328379338
194,ABHD5,-1.81730003906957,3.84408912303306,-9.7103115881296,7.56928627346475e-17,4.43778670486536e-15,27.7654404345109
195,TMED3,2.5419584256793,8.96005889400827,9.703143532528,7.87498737346875e-17,4.59333878901711e-15,27.726389177916
196,PAQR4,2.44704494253733,5.98327793492562,9.69062828549934,8.43856368066705e-17,4.89695016856669e-15,27.6582147370861
197,CTNNAL1,-2.55280376147455,4.62425047941322,-9.67136367424839,9.38572416094222e-17,5.41894551302319e-15,27.5532947554506
198,ARHGAP24,-0.882462817908937,2.56201226623141,-9.6690864885574,9.50447500735986e-17,5.45979286533894e-15,27.540894269929
199,ACSL1,-3.58430501008089,8.55937594836364,-9.64977907456231,1.05734972292735e-16,6.04336469777673e-15,27.4357693300995
200,RAE1,1.42933935638066,8.19922453387603,9.64643669015394,1.07703829509633e-16,6.12511678421285e-15,27.4175733241635
201,CYTH2,2.80071071125735,6.3571750006281,9.64357148390493,1.0942069696188e-16,6.1917960559424e-15,27.4019757004693
202,KRT19,5.45202011270702,10.9736863431157,9.62494483005295,1.21267586071717e-16,6.82820556425599e-15,27.3005897824045
203,ANGPTL2,-3.33730662620871,5.89926922360331,-9.59259454603782,1.44963878880703e-16,8.12226186398579e-15,27.1245638132414
204,GNG11,-3.06414871537783,8.47086673400827,-9.5880118249505,1.48675041569472e-16,8.28936236672146e-15,27.0996341840231
205,CRY2,-1.53708539201131,5.13226846156198,-9.56794780864701,1.66071707313313e-16,9.21414438527621e-15,26.9905057018718
206,PDZD2,-4.05219845478111,5.33555181561157,-9.55172752015007,1.81609198100593e-16,1.00192958011694e-14,26.9023051558884
207,SUCLA2,-2.57487719321889,8.01895973432231,-9.55099394495604,1.82345193497632e-16,1.00192958011694e-14,26.8983166841025
208,KIAA1522,2.59239277476867,7.14160326880992,9.53969490403564,1.94064798111719e-16,1.06119856428976e-14,26.8368885813963
209,HCG11,-0.765897165855204,2.47465465755372,-9.53536245677096,1.98755234143612e-16,1.0778926979258e-14,26.8133374741396
210,EFNA1,2.61567875836312,9.08869228452066,9.53512726604943,1.9901307065625e-16,1.0778926979258e-14,26.812059022537
211,ZNF562,1.10091222605882,8.35659631446281,9.52242791665377,2.13442150162581e-16,1.15056446253516e-14,26.743034102864
212,SAMD8,-2.05426992999774,4.06308036833058,-9.51388877994049,2.23726579453309e-16,1.20031420504808e-14,26.6966282398552
