"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
821,MAF,-1.22739934826989,5.24615029632328,-16.5475829655828,1.410164025055e-55,2.18010673727859e-54,115.206138525313
822,PI15,-3.18575212870342,3.40458710831719,-16.5398971630233,1.56468923865703e-55,2.41606984378811e-54,115.137363984146
823,ADD3,-1.63418164195967,5.99239250984654,-16.5397724179181,1.56733176841346e-55,2.4172202660798e-54,115.094637585942
824,ZEB2,-1.4526867447528,5.33539443845825,-16.5365386882563,1.63740814215193e-55,2.52224211884805e-54,115.052761090715
825,TUBA1C,1.25724601697618,6.00849825744194,16.5330171042307,1.71728065012818e-55,2.64208190845204e-54,115.078924363774
826,KIF20A,3.4769860672328,4.39192173413965,16.5307465991877,1.77082575960145e-55,2.72117603758298e-54,115.330624615175
827,C22orf39,-0.814561124259149,4.58557195497035,-16.5195942085379,2.05900146361289e-55,3.16019513794754e-54,114.875741178857
828,ADM,-1.95749409799383,3.16462019629452,-16.4842164726885,3.32042149187821e-55,5.09011424609344e-54,114.451238008182
829,KRT18,2.02820991121389,9.02267589656684,16.4746857192295,3.77620889856877e-55,5.78186600467158e-54,114.218582666909
830,CCDC167,1.74049772543207,3.971785707769,16.4696032139534,4.0442495558746e-55,6.18483734601279e-54,114.460825887763
831,PAQR4,2.32830029778816,3.78841574075104,16.4689223858484,4.08156724340292e-55,6.23442267550477e-54,114.488179594615
832,TMEM170B,-1.30975975429071,3.29664348124975,-16.4629085723037,4.42647222201259e-55,6.75315324984651e-54,114.190162008911
833,SEC14L1,-0.842314572705917,6.39925362723442,-16.4623302626039,4.46113367643349e-55,6.79789257225912e-54,114.048410284568
834,LINC02188,-3.82356333108441,-0.449749968820149,-16.4617351261259,4.49708625119799e-55,6.84449005424267e-54,114.354844831602
835,SHMT1,-1.0151565903776,4.98702154468776,-16.4573190752389,4.77304509344364e-55,7.25582594813587e-54,114.005675914892
836,KIFC1,3.03133442480915,4.71276921721694,16.4555209896003,4.89018717112901e-55,7.42504104565107e-54,114.295205349847
837,PRSS12,-2.78337583159584,-0.735814904387099,-16.4513707159119,5.17163130921043e-55,7.84302514857519e-54,114.26531496684
838,PPP1R15A,-1.25302049295697,5.90781059832089,-16.4387151786972,6.13350624303487e-55,9.29069393936043e-54,113.732459934279
839,CSRP1,-1.27631668269728,8.42700118646456,-16.4361094829927,6.35268389844349e-55,9.61126367960471e-54,113.747509953395
840,TTBK2,-0.96529408316314,3.79035692282275,-16.4313210551339,6.77602500278185e-55,1.02395946038479e-53,113.745506125516
841,TLCD2,-1.3202469564736,3.52559815536876,-16.4259224504328,7.28713556483404e-55,1.09989123175854e-53,113.672990220663
842,GSPT2,-1.61143456419529,2.85454000480372,-16.4158390719962,8.34693849364291e-55,1.25836271562742e-53,113.585512827098
843,AKAP7,-0.995137108870847,2.91867454576092,-16.4146134709433,8.48581026693999e-55,1.27778648924998e-53,113.609495339622
844,RACGAP1,1.69456928439795,5.45183037938594,16.4120512614165,8.78361926933923e-55,1.32106878243344e-53,113.543822282055
845,EPHB6,-1.91831637732647,2.43618035490906,-16.410687917455,8.946307397113e-55,1.34395058881866e-53,113.537601550417
846,SLC52A2,1.6456295288142,5.90471245349485,16.3975516739355,1.06762561706478e-54,1.60194142942146e-53,113.298735515262
847,SLC12A4,-1.02099577013594,5.42684307800055,-16.3945417485842,1.11174491432894e-54,1.66617864278075e-53,113.147796842434
848,TLN1,-0.813491266693354,8.78017159686563,-16.3916245569103,1.15623887085422e-54,1.73082573158777e-53,113.149720315176
849,ATIC,0.810815611879183,6.98807779529903,16.3858954642442,1.24885419331479e-54,1.86727154561468e-53,113.029076810974
850,CEP55,3.33119122214494,4.05105870586236,16.3646582873689,1.66148322241367e-54,2.48131708913573e-53,113.111162192509
851,BCL6,-1.27446125021625,5.98944159969013,-16.3622345835763,1.71648217186417e-54,2.56045273856881e-53,112.707342226159
852,MYCBP2,-1.21742492361448,6.21474338554025,-16.3554290095287,1.88081316323219e-54,2.80230162414209e-53,112.616676192652
853,SSX2IP,1.25805487314384,5.06705580812673,16.3547056835897,1.8991759794484e-54,2.82635546754593e-53,112.779560932412
854,CPM,-1.65427028099627,4.91289461627286,-16.3499214198184,2.02521651885037e-54,3.01041227930395e-53,112.554186406876
855,SOCS2,-1.93859474288251,3.8100974589988,-16.3485241773384,2.06357616217849e-54,3.06385742773797e-53,112.580599158792
856,RNPC3,-0.913173008172799,3.45126704814313,-16.3410932935384,2.2800888422819e-54,3.38137971616172e-53,112.576529410923
857,ZDBF2,-1.79165227692816,2.55747853466365,-16.329929832146,2.64865426199678e-54,3.92339612134616e-53,112.450966468291
858,CRB3,2.02663928298364,3.83954065595029,16.3285598780818,2.69779540868913e-54,3.99154654021961e-53,112.600263409993
859,CAB39L,-1.42099659986394,5.19777758441674,-16.319328674633,3.05347999717256e-54,4.51256168027624e-53,112.14129936177
860,BUB1B,2.90089341147624,3.58839176057833,16.3166896827312,3.16349952226057e-54,4.6697358533114e-53,112.473116354404
861,CYGB,-1.3819253864689,3.45865590623725,-16.3068072044853,3.61178091439951e-54,5.32528669774714e-53,112.082780708049
862,TCF7L2,-1.30250393374798,5.04179926355603,-16.3034076558902,3.78019864035554e-54,5.56716190514327e-53,111.934925937524
863,ATP8B4,-1.34711611858368,2.13238441852274,-16.2983887491143,4.04325830931785e-54,5.94769833745959e-53,112.106886397072
864,PRXL2C,-0.876686133903926,3.95962091487041,-16.2977708268217,4.07688295879144e-54,5.9902436000051e-53,111.949988080971
865,SDC1,2.11816225742218,8.25614406966462,16.2926710250951,4.36525382598339e-54,6.40656319000028e-53,111.783252708305
866,LMNB2,1.29964078297924,6.20564455963441,16.2916227768258,4.42700145386834e-54,6.48970903576857e-53,111.829803161666
867,HPS5,-0.759417485263741,5.18841347795446,-16.2904259179759,4.49856859526562e-54,6.58704199253894e-53,111.7704223224
868,RMI2,2.47859758853469,3.77832644713428,16.2879270589074,4.65173003385542e-54,6.80348896685237e-53,112.076034934103
869,ARHGAP26,-1.41022756935253,4.50992504991948,-16.2821107472386,5.02866287170334e-54,7.34634590855835e-53,111.670872973205
870,SIRPA,-1.38196214970821,5.94116211449375,-16.2755042853109,5.49386770442653e-54,8.01676754715802e-53,111.548997946777
