"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
3522,JUNB,-0.728579683218482,6.86406221067447,-6.72546207069313,2.69806600597437e-11,6.49124550351072e-11,14.1608891216527
3523,ZNF703,1.07061164973348,7.00790559803612,6.72502622291993,2.70586099038076e-11,6.50867780654113e-11,14.1697501710207
3524,TCEA3,0.71790219928915,6.05374573453727,6.71769385349934,2.84035549358541e-11,6.82526307919155e-11,14.1594016230716
3525,NNMT,-0.769428547166524,6.42067855182824,-6.70672077052921,3.05395213446399e-11,7.32071188372725e-11,14.0356902864922
3526,TENT5A,-0.621851222437611,5.05793656426375,-6.70421241934438,3.1049459139344e-11,7.43994016869742e-11,14.0649290472305
3527,CD14,-0.660260168194651,5.96189300433842,-6.70365219912759,3.11644844850552e-11,7.46599224956367e-11,14.0194925662076
3528,ENC1,0.594527314344176,6.24755622588429,6.69789051855667,3.23719802167322e-11,7.74900189066787e-11,14.0111213356469
3529,FAM171B,-0.742571546436085,3.80198098441154,-6.6949791738602,3.29994375993904e-11,7.89282067249046e-11,14.1208617070505
3530,RELB,0.655438039282352,4.44464336558707,6.69157803322695,3.37475595020467e-11,8.0684994459191e-11,14.1695101046308
3531,KIAA1257,0.891736063158557,1.8993741233245,6.69009870130384,3.4078119236776e-11,8.14588732774983e-11,14.5285988528382
3532,ARSJ,-0.794021742125015,2.33157250277668,-6.68953821681127,3.42041875999639e-11,8.17272472014462e-11,14.3039233274888
3533,HRAS,0.636957407411765,4.89107640339398,6.67453610886275,3.77536599215366e-11,9.00449107106052e-11,13.9934685287111
3534,SRPX2,-0.739158386805727,4.65628600999006,-6.66905075194811,3.91395866352872e-11,9.33128696260599e-11,13.861607576896
3535,SPDEF,1.6975889313021,6.78063934635608,6.66750912482913,3.95379850504883e-11,9.42437306101861e-11,13.852224445823
3536,TCEAL3,0.804703555474886,5.39390959067485,6.65903384733796,4.18002197913457e-11,9.94759598930819e-11,13.851448456625
3537,KLRD1,-0.86812434884214,1.31356031927289,-6.65887340809248,4.18442447435658e-11,9.95607341298215e-11,14.238193066577
3538,NBPF26,-0.785317089254917,1.38828339620174,-6.65596625832904,4.26498884988967e-11,1.01436878527384e-10,14.2165141831651
3539,XBP1,0.908133548435316,10.5458004925114,6.65482384256434,4.29706223991182e-11,1.0215868876548e-10,13.7842279942433
3540,SGPP1,-0.623168154401267,4.1377120121784,-6.6533482953942,4.33883819083443e-11,1.03089820980945e-10,13.823287305138
3541,DNAJA4,0.687207837814049,5.85692497089936,6.65124804285274,4.39898787974558e-11,1.04456127028267e-10,13.7443084738941
3542,ITGB8,-1.08200320674256,4.63402907615674,-6.64955539475293,4.44805785329917e-11,1.05600155287e-10,13.7197507845628
3543,CP,-1.66618901871506,3.68790407296609,-6.64775557964741,4.50082280962018e-11,1.06810032988563e-10,13.7553712056588
3544,ETNK2,1.10159569635998,4.50376742091772,6.64526760645943,4.57477325882339e-11,1.08521498185783e-10,13.9238509858485
